,Verb,ObjKeyword,ObjSent,Rating,SbjKeyword,SbjSent,Message,Count
0,serve,different areas,neutral,good,lunch buffet,positive,The Lunch buffet serves different food in different areas ,1
0,look,,neutral,good,bars,negative,Boutique shops an internet cafe a coffee shop and the 21 bars everywhere looks fabulous ,1
0,have,glass,neutral,bad,room,positive,spacious and bathroom in room has glass More ,1
0,be,ship,neutral,bad,line,negative,So bottom line is ship buffet ,1
0,rave,facilities,positive,good,,neutral,I didn't rave enough about the ship the staff the food the facilities the improved boarding and disembarking procedures ,1
0,be,cruise ship,neutral,good,gourmet dining resturant,positive,The gourmet dining resturant was the best of any cruise ship I have been on ,1
0,be,,neutral,good,room service,positive,Room service was very good and dining service was exceptional ,1
0,be,,neutral,good,breakfast,positive,all breakfast and lunches were in the buffet dining room,1
0,like,great service,positive,good,,neutral,I like fine dining good wine great service and wonderful atmosphere ,1
0,be,choices,positive,good,food,neutral,The food in the main diningroom was good plenty of choices ,1
0,hasssle,,neutral,good,plenty,positive,plenty of hammocks and loungers and the ppl didn't hasssle you ,1
0,be,buffet restaurant,positive,good,restaurant,neutral,the restaurant that we were assigned to for our evening meal was so tranquil and conservative the buffet restaurant ,1
0,say,cruise company,positive,good,,neutral,All said I don't wish to take anything away from this Cruise Company excellent boat excellent staff and excellent cuisine ,1
0,wish,cruise company,positive,good,,neutral,I didn't wish to take anything away from this Cruise Company excellent boat excellent staff and excellent cuisine ,1
0,be,,neutral,bad,coffee,positive,coffee at lunch and dinner is hard ,1
0,show,deck,positive,bad,steward,neutral,a steward showed straight to our balcony cabin 13172 on deck 13 the cabin was lovely very modern clean plenty of wardrobe and draw space ,1
0,have,value,positive,good,cigar room,neutral,Cigar room had great selection and value for well More ,1
0,lack,machine,neutral,good,fitness center,positive,The fitness center lacked a water stationcooler even a water bottle vending machine would've sufficed ,1
0,be,,neutral,good,plenty,positive,plenty of fresh towels available were ,1
0,prefer,single night,positive,good,,neutral,you prefer with enormous variety and a great 56 course dinner with a new menu every single night ,1
0,be,average,neutral,good,bathroomshower,positive,plenty of storage space in the cabin and bathroomshower was above average ,1
0,have,schedule,neutral,bad,breakfast,positive,The breakfast and lunch schedules have used the same type of schedule ,1
0,use,schedule,neutral,bad,breakfast,positive,The breakfast and lunch schedules could have used the same type of schedule ,1
0,be,,neutral,good,formal dining rooms,positive,The service in the formal dining rooms was impeccable ,1
0,be,excellent quality,positive,good,food,neutral,the food at the buffet be varied and of excellent quality ,1
0,be,mirrors,neutral,good,narcissists,negative,the narcissists there is an over abundance of mirrors ,1
0,be,,negative,bad,dinner,positive,your dinner in the dining room is so awful you ,1
0,serve,,neutral,bad,coffee,negative,no coffee or tea served in the dining room,1
0,be,service,positive,good,dining rooms,positive,Dining rooms were nice and service good ,1
0,meet,plenty,positive,good,,neutral,I meet plenty of nice and interesting people in american waters,1
0,confide,friends,positive,good,,neutral,I will confide that I enjoyed a couple of pleasant meals gathering with new people and making friends ,1
0,be,complaints,neutral,good,lunches,positive,most lunches were good no complaints ,1
0,be,,positive,bad,buffet foods,positive,most of the buffet foods were warm at best ,1
0,have,poor selections,negative,bad,dinner,positive,the dinner in the main dinning rooms had very poor selections ,1
0,feel,things,positive,good,,neutral,Personnally I feel the best items are the things made fresh bread rolls ,1
0,have,presentation,positive,good,menu,neutral,The menu had excellent choice presentation and flavour ,1
0,bring,plate,neutral,good,presentation,positive,presentation and flavour and our waiters would bring more or change our plate ,1
0,look,,neutral,good,pastries,positive,the breads and pastries looked delicious ,1
0,have,abundance,positive,good,,neutral,I had an abundance of hot water and pressure and the walkin closet and adjacent cabinetry ,1
0,can,juices,neutral,good,spirits,positive,a wide range of spirits ice creams fresh juices canned juices ,1
0,find,quality,negative,bad,,neutral,I found most of the shows I attended poor in quality ,1
0,be,juice glasses,neutral,bad,water,negative,tea and water in little glasses are like juice glasses ,1
0,try,ice,neutral,bad,pain,negative,a pain trying to get in there to get coffee or ice ,1
0,be,,negative,bad,ship,neutral,The food on this ship was mediocre ,1
0,be,poor quality,negative,bad,fish dishes,neutral,Most of the fish dishes were of poor quality ,1
0,be,,neutral,bad,coffee machine,positive,The 2only beverage stations with a coffee machine and a juice distributor BTW also outoforder for the whole clientele onboard are ,1
0,present,,neutral,good,bars,negative,The many bars well presented ,1
0,be,,positive,good,bar area,neutral,The private pool and bar area were immaculate and uncrowded ,1
0,recommend,wine,neutral,good,sommelier,positive,The Sommelier recommended some excellent desert wine ,1
0,be,best quality,positive,good,food,neutral,The food in the Buffet was the best quality ,1
0,be,,neutral,bad,water,negative,standing in the heat and humidity without water and listening to infants cry for four hours is in our opinion,1
0,have,cooking,positive,bad,,neutral,they have a reputation for cooking marvelous meals ,1
0,be,,neutral,good,bar,negative,the bar bill didn't was too exorbitant ,1
0,be,dining rooms,positive,good,food,neutral,Food was superb both at the pool deck buffet and in the dining rooms ,1
0,be,seating,positive,bad,ships decor,positive,nice overall the ships decor was pleasant always plenty of seating in the lounges ,1
0,think,cocktails,positive,good,twins,neutral,the twins thought it great to have their own cocktails along with unlimited milkshakes and ice creams ,1
0,have,free icecream,positive,good,,neutral,I have loved free icecream scoops it ,1
0,be,best desert,negative,bad,coffee,neutral,Coffee and tea were poor quality and the best desert like apple pie ,1
0,be,food,neutral,bad,big problem,negative,Another big problem was the food ,1
0,be,,neutral,good,seafood,positive,The seafood and the risotto were fantastic ,1
0,purchase,great value,positive,good,,neutral,We purchased a wine package a great value and convenient ,1
0,be,time,neutral,good,fruit,positive,Our towels toiletries fruit were replaced practically every time ,1
0,be,,neutral,good,ice,positive,every extra request that we made for ice or extra pillows was met ,1
0,have,wonderful desserts,positive,good,,neutral,They had freshly carved meats wonderful fresh pastas wonderful breads bavarian pretzels and wonderful desserts ,1
0,cut,fruit,neutral,good,fresh fruit,positive,Fresh fruit cut up fruit ,1
0,be,,neutral,good,room,positive,plenty of storage space and room was ,1
0,be,small table,positive,good,balcony,neutral,The balcony was very nice with two comfortable chairs and a small table ,1
0,get,,neutral,bad,night,positive,Dinner that night got stuck on early ,1
0,stick,,neutral,bad,night,positive,Dinner that night got stuck on early ,1
0,be,,neutral,bad,night,negative,Dinner that night we asked for late seating but got stuck on early was interesting ,1
0,say,pricy,neutral,good,boat,negative,Those in SA who have been on the boat said that the bar prices are quite pricy ,1
0,have,hope,positive,bad,,neutral,I to have a steak dinner having the hope that food quality was good ,1
0,be,,negative,bad,food quality,neutral,the food quality was so bad ,1
0,be,bar,neutral,good,bars,negative,The bars were very nice with live music in every bar ,1
0,be,,neutral,good,food,positive,quality and quantity of food was adequate in our opinin,1
0,have,vocal cords,neutral,bad,bars,negative,the bars should have had their vocal cords ,1
0,be,buffet,neutral,good,coffee,positive,Coffee and juice were available in the buffet ,1
0,do,,neutral,good,coffee,positive,Coffee and juice didn't did in the dining room,1
0,be,,neutral,good,coffee,positive,Coffee and juice did not appear to be in the dining room,1
0,serve,meals,neutral,good,dining rooms,positive,the dining rooms were served Evening meals ,1
0,speak,texmex restaurant,positive,good,tableguests,neutral,3 specialist restaurants which we did not use but our tableguests an American family spoke highly of the TexMex restaurant ,1
0,look,potatoes,positive,good,,neutral,you are looking for WOW factor the latest in everything gourmet dining and prefer steak and potatoes ,1
0,have,good italian dish,neutral,good,lunch buffet,positive,Lunch buffet had a good salad bar a good italian dish or two and a carving station which had anything from roast turkey breast to pork roast to lamb leg to hip of beef depending on the day ,1
0,be,extra cost,neutral,bad,pizza,positive,Pizza Gelato ice cream sandwiches is all at an extra cost ,1
0,cut,foul presentation,negative,bad,,neutral,the English cut prime rib that was smothered by this foul presentation ,1
0,be,foul presentation,negative,bad,cut prime rib,neutral,the English cut prime rib that was smothered by this foul presentation ,1
0,smother,cut prime rib,neutral,bad,foul presentation,negative,by this foul presentation was smothered the English cut prime rib ,1
0,help,,neutral,bad,foul presentation,negative,the English cut prime rib that was smothered by this foul presentation didn't helped it ,1
0,include,eu,neutral,good,unbelievablearray,positive,an unbelievablearray of cheese and too many lovely items to mention including a very resonable 78 Eu ,1
0,enjoy,delicious lunch buffet,positive,good,,neutral,We enjoying a delicious lunch buffet ,1
0,have,shelving,neutral,good,small flat screen,negative,a small flat screen TV The bathroom had plenty of shelving ,1
0,replenish,,neutral,good,bowl,positive,a bowl of fresh fruit replenished ,1
0,be,,neutral,bad,breakfast,positive,Breakfast that was served here ,1
0,serve,bad food,neutral,bad,surly waiters,negative,surly waiters serving bad food in the 2 formal restaurants,1
0,be,tender,neutral,good,drink,positive,plenty of drink was available at the food pavilion which could have been taken on the tender if needed ,1
0,include,inclusive package,neutral,good,alcohol,negative,ALL alcohol soda and all of the ice cream and cappuccino bars included the all inclusive package ,1
0,be,,neutral,bad,quality,positive,The quality and variety of the cold meats and cheese on the buffet are limited ,1
0,be,,neutral,bad,shellfish,negative,None of the shellfish been cleaned or deveined ,1
0,clean,,neutral,bad,shellfish,negative,None of the shellfish we ordered cleaned deveined ,1
0,be,sub standard,neutral,bad,service,negative,the service offered in bars was sub standard ,1
0,tell,,neutral,bad,service,negative,to go to another bar if we dont like the service tell us ,1
0,be,,neutral,bad,meal choices,positive,the meal choices are skimpy ,1
0,be,service,negative,bad,,neutral,it was inedible eg over salty or simply unpleasant and service ,1
0,be,ship companies,neutral,bad,room,positive,In dining room the breakfast is almost as good as in the other ship companies ,1
0,be,,neutral,good,bites,negative,the little Gran Paderno cheese bites were great ,1
0,be,pleasant experience,positive,bad,breakfast,positive,Breakfast in the main dining room was a pleasant experience ,1
0,while,predinner drinks,positive,bad,,neutral,we while having our predinner drinks were pleasant and efficient ,1
0,have,predinner drinks,positive,bad,,neutral,we chatted to while having our predinner drinks were pleasant and efficient ,1
0,be,,negative,bad,staff,positive,The staff in the outside eating area by the buffet were at best disinterested and at worst downright unpleasant ,1
0,be,ability,positive,good,galaxy disco restaurant,neutral,The Galaxy disco restaurant was a unique experience with an ability to do small dish sampling and wine pairing ,1
0,like,cabin,positive,good,,neutral,you didn't like the feeding frenzy in the buffet style restaurant at breakfast and dinner than you can opt to have this in your cabin ,1
0,include,drinks,neutral,good,cocktails,positive,cocktails premium spirits champagne specialist coffees and minibar drinks including all drinks ,1
0,be,time,positive,good,service,negative,The service in the bars is excellent most of the time ,1
0,be,,negative,bad,food,neutral,enough the food served by MSC is just plain cheap ,1
0,be,choice,neutral,bad,dinner,positive,dinner the dining room is your only choice ,1
0,be,,negative,bad,food,neutral,MSC's food is just plain BAD ,1
0,have,great location,positive,good,zanzibar,neutral,Zanzibar and Il Cerchio d'Oro Restaurant has a great location ,1
0,be,,neutral,good,great location,positive,the buffet in Zanzibar and Il Cerchio d'Oro Restaurant which has a great location and the view of the wake is mesmerizing ,1
0,be,policy,neutral,bad,bar,negative,any bar was on board that had a No Children policy I ,1
0,have,policy,neutral,bad,board,negative,any bar on board had a No Children policy I was laughed ,1
0,tell,,neutral,bad,drinks,positive,they would honor the deal on a limited basis and that we would be expected to pay for day one's drinks were told we ,1
0,mean,good coffee,neutral,good,restaurant,positive,Good coffee at the buffet and in the restaurant AND I do mean GOOD coffee ,1
0,be,,neutral,good,yuck coffee,negative,Not the yuck coffee is normally ,1
0,use,aperol,neutral,good,interesting mediterranean cocktails,positive,Interesting Mediterranean cocktails using Aperol ,1
0,be,welcome,positive,good,staff,neutral,The staff were friendly and attentive the 'Welcome aboard Buffet' was bountiful ,1
0,be,great variety,positive,good,welcome,positive,The staff were friendly and attentive the 'Welcome aboard Buffet' was bountiful delicious with great variety ,1
0,be,,neutral,good,breakfast,positive,The breakfast lunch buffet were AMAZING ,1
0,see,magic tricks,positive,good,parminder,neutral,Parminder our head waiter to see us every night always had a suitable suggestion for the appropriate wine to accompany our meals and entertained our children with magic tricks and napkin origami ,1
0,have,magic tricks,positive,good,night,neutral,Parminder our head waiter actually came to see us every night had a suitable suggestion for the appropriate wine to accompany our meals and entertained our children with magic tricks and napkin origami ,1
0,benefit,,neutral,good,table,positive,from a few Italian waiters that came to our table on several occasions to sing us classic and beautiful Italian songs benefited We ,1
0,theme,,neutral,good,midnight buffet,positive,midnight buffet themed ,1
0,have,fed,neutral,good,fab pizza,positive,a fab pizza have fed us both ,1
0,feed,,neutral,good,fab pizza,positive,a fab pizza would have fed us ,1
0,be,complete strangers,neutral,good,dinner,positive,The seating arrangement at the dining tavle for dinner was great 8 complete strangers 3 irish 2 english 1 italian ,1
0,be,60,neutral,good,entertainment our friend,positive,the entertainment our friend was 60 had champagne ,1
0,be,food,neutral,bad,biggest disappointment,negative,the biggest disappointment was the food ,1
0,be,clockwork,positive,bad,waiters,neutral,The waiters are super efficient and work like clockwork ,1
0,be,point,neutral,bad,bacon,positive,at breakfast eg the bacon was over fried to the point of being inedible ,1
0,loves,buffet,neutral,bad,lower middle income,negative,the lower middle income groups LOVES EATING BUFFET ,1
0,be,,neutral,good,dining staff,positive,The dining staff was courteous ,1
0,attend,table,neutral,good,dining staff,positive,The dining staff even attended to the special diet considerations gluten and lactose free at our table ,1
0,be,,positive,good,meal,positive,Every meal in the dining room was special and delicious ,1
0,be,home,negative,good,food,neutral,Food was not anything to write home about and that was disappointing ,1
0,be,,neutral,good,dinner,positive,the morning flaky sweet rolls and croissants and the bread at dinner was to DIE ,1
0,voucher,water,positive,good,,neutral,They voucher booklets were handy and quite good value for sparking water and soft drinks ,1
0,be,water,positive,good,booklets,neutral,They voucher booklets were handy and quite good value for sparking water and soft drinks ,1
0,be,money,negative,good,,neutral,It was a waste of money ,1
0,be,service,positive,good,drinks package,neutral,the drinks package was amazing value for money and service of bar and dining room staff was exceptional ,1
0,take,advantage,positive,good,,neutral,we took full advantage of the five star dining experience and exceptional menu ,1
0,be,thing,neutral,bad,dinner,positive,Dinner our dining room steward was wonderful with the exception of one thing ,1
0,be,sheer bedlam,neutral,bad,breakfast,positive,Breakfast and lunch in the Cafeteria were sheer bedlam ,1
0,start,restaurant,positive,bad,,neutral,we started going to the restaurant for lunch and breakfast ,1
0,be,disaster,neutral,bad,night,positive,Our first night in the dining room was a disaster ,1
0,be,,neutral,bad,breakfast food,positive,Breakfast food was always cold ,1
0,be,creativity,negative,bad,food,neutral,The food is tastelessno creativity ,1
0,consist,salads,neutral,good,dinner,positive,Meals at dinner consisted of Appetisers salads soups pasta dish main meal and sweet ,1
0,be,,neutral,good,number,negative,a number of bar staff were very pleasant ,1
0,receive,water,neutral,bad,lucky ones,positive,the lucky ones received water in the first place,1
0,be,appalling experience,negative,bad,dinner,neutral,dinner was an appalling experience ,1
0,be,variety,positive,good,food,neutral,the food is fresh plentiful good and with lots of variety ,1
0,be,,neutral,good,coffee,positive,Tea and coffee is available ,1
0,create,menus,positive,good,michelin star chef,neutral,A Michelin star chef creates the menus and we enjoyed every meal ,1
0,be,,positive,good,waiters,neutral,Waiters were lovely most were friendly and helpful ,1
0,be,table,positive,good,,neutral,We were allocated a table with a lovely family ,1
0,do,table,neutral,bad,,negative,EXTREMELY BAD didn't did our server get the orders correct for our table ,1
0,ordered,olives,neutral,bad,penne pasta,positive,a Penne Pasta Ordered with Olives etc ,1
0,be,charge,neutral,bad,popcorn,positive,Even popcorn on the pool deck was an up charge ,1
0,get,popcorn,positive,bad,,neutral,you get a small bag of popcorn ,1
0,put,royals,neutral,good,midnight buffet,positive,The midnight buffet puts Royals and Carnivals ,1
0,give,,neutral,good,wine package,positive,a wine package for 7700 gives you ,1
0,be,,neutral,good,water,positive,plenty of juices tea and water is ,1
0,be,,negative,good,food,neutral,Food in the buffet was very disappointing ,1
0,be,,negative,bad,breakfast selection,positive,The breakfast selection was equally poor ,1
0,be,restaurants,negative,bad,food,neutral,The food was horrible in all restaurants ,1
0,be,main evening meal,neutral,good,breakfast,positive,Breakfast lunch afternoon tea was excellent but the main evening meal ,1
0,be,pasta,negative,good,main evening meal,neutral,the main evening meal in Bora Bora buffett was of poor quality limited burgers hot dog chips pizza pasta ,1
0,think,waste,negative,good,,neutral,I think they aim to get most people to go formal dining which obviously cuts down on alot of waste ,1
0,be,poor food,negative,bad,service,neutral,Service was poor food was bad ,1
0,be,,neutral,bad,service,negative,Service was poor food was bad ,1
0,reflect,orchestra,neutral,good,quality san benedetto,positive,that serving good quality San Benedetto still and sparkling mineral water reflected the Orchestra ,1
0,await,deck,neutral,good,delicious buffet,positive,A delicious buffet awaits for you on deck 13 great food ,1
0,think,food,neutral,good,,negative,nasty we all thought the food was great ,1
0,mean,room,positive,good,,neutral,I mean plenty there is breakfast in the buffet or dinning room whatever you prefer from 7 930 am ,1
0,be,,negative,bad,quality,positive,The quality of the meals was so very poor ,1
0,arrive,,neutral,bad,quality,positive,The quality of the meals arrived ,1
0,produce,disappointing cuisine,negative,bad,food loving nation,positive,a great food loving nation can produce such disappointing cuisine ,1
0,be,,neutral,bad,dinner choices,positive,The dinner choices were odd ,1
0,be,,negative,bad,buffet,neutral,the buffet was so boring a cruise,1
0,have,glass,neutral,bad,balcony rooms,positive,Most of the balcony rooms had glass for the balcony view ,1
0,be,,neutral,good,drinks,positive,all very inviting and same as above the drinks were very well priced 675 ,1
0,price,,neutral,good,drinks,positive,all very inviting and same as above the drinks priced 675 ,1
0,find,cabin,positive,good,,neutral,We found our cabin very adequate with plenty of room for all our belongings and the bathroom was quite roomy with lots of storage space ,1
0,have,fruit,neutral,bad,breakfast,positive,breakfast my adult daughter had cereal and fruit ,1
0,be,msc,negative,good,cabin steward,neutral,My cabin steward was a little skimpy on towels and no chocolates on the pillow from MSC ,1
0,be,small table,positive,good,balcony,neutral,The balcony is roomy enough for two chairs and a small table ,1
0,bring,ice,neutral,good,patricia,positive,Our stewards Luke and Patricia brought ice daily and an extra set of pillows as we requested ,1
0,be,,neutral,good,bar service,negative,The bar service was unobtrusive ,1
0,enjoy,food,neutral,bad,,negative,NONE of us enjoyed the food in the buffet or the in the main dining room,1
0,be,,neutral,bad,bar,negative,Unfortunately the bar is ,1
0,see,,neutral,bad,dinning room,positive,a matre d in the dinning room even on the 2 formal nights saw ,1
0,be,food tastelessmsc,negative,bad,menu,neutral,The menu was dull and the food tastelessMSC ,1
0,be,fruit bar,positive,good,breakfast,neutral,Breakfast was excellent with a large choose of food from various cuisines and an excellent salad and fruit bar ,1
0,eat,service,positive,good,,neutral,we eat all meals in the main dinning room which was fine and very good service ,1
0,be,bars,neutral,good,musicevening entertainment,positive,very liveily and lots of musicEvening entertainment was very varied lots of bars fabulous shows ,1
0,be,money,positive,good,drinks package,neutral,Drinks package was well worth the money ,1
0,drink,time,positive,good,,neutral,I drank champagne most of the time and also some lovely vitamin drinks and coffees ,1
0,have,,neutral,good,nice meals,positive,some very nice meals had here,1
0,be,ok,neutral,bad,dining room staff,positive,The dining room staff were ok ,1
0,be,good quality,neutral,bad,shows,positive,Entertainment The evening shows were of good quality but pathetic quantity ,1
0,leave,,neutral,bad,dining,positive,a conservative view of dining leaves you ,1
0,be,buffet,neutral,bad,,positive,Well there is always the buffet ,1
0,be,,neutral,bad,table,negative,noone at our table was satisfied with anything ,1
0,be,,neutral,bad,table,positive,a steakanother guest at the table was just served one ,1
0,serve,,neutral,bad,dinner,negative,NO dinner served to her ,1
0,have,limes,neutral,bad,bars,negative,No of the bars had any limes ,1
0,be,food quality,positive,bad,,neutral,we were very disappointed with the food selections and food quality ,1
0,be,touch,neutral,bad,final insult,negative,The final insult was their Grand Gala Buffet which was a complete disaster to the point where several of our group acquired a touch of food poisoning ,1
0,be,high quality,neutral,good,linens,positive,The linens and towels are high quality ,1
0,enjoy,dinner,positive,good,,neutral,we enjoy a dinner in exclusive dining room ,1
0,enjoy,beverages,positive,good,,neutral,We enjoyed the amenities of the Yacht Club which are a special area for breakfast and lunch all beverages are free ,1
0,have,traditional dining,neutral,good,ship,positive,Food wise the ship had it all from the usual buffet to the traditional dining and extra charge services ,1
0,look,,neutral,good,menus,negative,the menus for the main restaurants looked very nice ,1
0,be,joke,neutral,bad,dining staff,positive,The dining staff was a joke ,1
0,be,,negative,bad,oleandro,neutral,The food in Oleandro was generally very poor ,1
0,be,things,neutral,bad,oleandro,negative,The food in Oleandro was generally very poor and in Buffet was horrible hamburgers pizza and other things without a minimum class ,1
0,be,mess,negative,bad,buffet,neutral,the whole buffet was a mess ,1
0,be,,positive,good,food,neutral,The food was good to very good ,1
0,say,ship,positive,bad,,neutral,I must say the ship itself is lovely and very clean and the bar prices very reasonable ,1
0,be,,negative,bad,restaurant,neutral,the service in the restaurant at breakfast is poor ,1
0,ask,,neutral,bad,milk,negative,with milk as otherwise you won't get it remember to ask for it ,1
0,be,,positive,good,evenings,neutral,Our table waiter in the evenings Santoro being friendly and efficient ,1
0,include,package,neutral,good,ice cream,positive,fancy coffees take away ice cream and fruit juices includes the weekThis package ,1
0,have,food,positive,good,,neutral,it had a fantastic range of food ,1
0,be,,neutral,good,course,positive,roast beef and of course the bread was excellent ,1
0,be,,neutral,good,fresh fruit,positive,lots of fresh fruit available was ,1
0,be,,neutral,bad,accommodation,positive,a assigned seating type dinner accommodation and our assigned waiter was excellent ,1
0,be,wife,negative,bad,italian dishes,neutral,the Italian dishes were uninspired my wife is Italian ,1
0,be,dining room,neutral,bad,meals,positive,Breakfast meals were taken in the dining room ,1
0,take,,neutral,bad,meals,positive,Breakfast meals were taken in the dining room,1
0,reveal,staff,negative,bad,meals,positive,Breakfast meals that were taken in the dining room revealed a deep communication rift with the staff that left multiple members of our party frustrated to the point of resignation ,1
0,contain,mush centers,negative,bad,things,neutral,some deep fried roll looking things contained tasteless uncooked potato mush centers ,1
0,decide,grenada,negative,bad,,neutral,you decide to visit the seven sisters falls on Grenada be aware that this is a mile trek down a steep muddy boulder strewn death ,1
0,be,,neutral,good,food,positive,nice food was very adequate ,1
0,serve,japanese dishes,positive,bad,sushi restaurant,positive,one sushi restaurant serves excellent sushi dishes and Japanese dishes i very liked it ,1
0,be,food,negative,bad,things,neutral,Things were never enough tables or enough food ,1
0,taste,,neutral,good,juice,positive,Juice in the buffet tasted horrible ,1
0,find,waiters,positive,good,,neutral,I found waiters to be attentive and polite ,1
0,be,,neutral,bad,dining room,positive,Our waiter in dining room was good ,1
0,be,fallacy,neutral,good,excellent italian food,positive,excellent Italian food is a fallacy ,1
0,serve,food,neutral,bad,,negative,not hot served The food ,1
0,get,,neutral,bad,free drinks,positive,free drinks can only get at yacht club venues,1
0,be,terrible quality,negative,bad,food,neutral,Food is still terrible quality ,1
0,decide,dining room,positive,good,,neutral,We all decided the dining room infinitely better than the buffet scrum Le Arabesque having the more sophisticated decor ,1
0,have,food,neutral,good,dining rooms,positive,Both dining rooms had superb staff food less so ,1
0,be,holland america,neutral,good,breakfast,positive,Breakfast in the dining room was identical to Holland America ,1
0,find,deck,positive,good,,neutral,We found the buffet on deck 14 to be good with a wide variety of items and really good pizza ,1
0,be,,neutral,good,breakfast room service,positive,The breakfast room service menu is very limited ,1
0,plan,meals,neutral,bad,experience,positive,our experience with the drink plans meals was very disappointing ,1
0,be,,negative,bad,experience,positive,our experience with the drink plans meals was very disappointing ,1
0,push,food,neutral,bad,way,negative, clawing their way pushing to the food that they want ,1
0,be,selection,negative,bad,food,neutral,The food was nothing like we anticipated very bland not much of a selection ,1
0,decide,,neutral,bad,breakfast,positive,to go for a quick bite for breakfast decided ,1
0,get,orders,neutral,bad,dining room,positive,Our waiter in the dining room didn't get the orders ,1
0,charge,coffee,neutral,bad,beautifully appointed ship,positive,A beautifully appointed ship charging for tea and coffee ,1
0,be,nightmare,neutral,bad,breakfast,positive,Breakfast in the cafeteria was a nightmare ,1
0,think,fruit basket,positive,good,,neutral,I thought the fruit basket was a nice startofcruise touch but it will be continually replenished through the cruise and in keeping with the high touch service they seem to continually experiment with new fruit choices you will see less and less of what you don't seem to eat and more and more of what you seemingly like ,1
